pair_idx,object_id,scene_a,scene_b,rel_a,rel_b,yaw_diff_deg,rot_err_deg,trans_dir_err_deg
251,schleich_african_black_rhino,multiview-10-ipad_5,multiview-10-ipad_5,schleich_african_black_rhino/multiview-10-ipad_5/images/031.jpg,schleich_african_black_rhino/multiview-10-ipad_5/images/035.jpg,58.439561,2.9915079698574014,3.4826356039651207
252,schleich_bald_eagle,multiview-07-pixel_5,multiview-07-pixel_5,schleich_bald_eagle/multiview-07-pixel_5/images/031.jpg,schleich_bald_eagle/multiview-07-pixel_5/images/034.jpg,64.15776,2.6824895011053727,2.1261068137217016
253,schleich_hereford_bull,multiview-05-pixel_4xl,multiview-05-pixel_4xl,schleich_hereford_bull/multiview-05-pixel_4xl/images/021.jpg,schleich_hereford_bull/multiview-05-pixel_4xl/images/022.jpg,50.984278,1.146538456141807,1.1193885251267781
254,schleich_lion_action_figure,multiview-11-ipad_5,multiview-11-ipad_5,schleich_lion_action_figure/multiview-11-ipad_5/images/029.jpg,schleich_lion_action_figure/multiview-11-ipad_5/images/030.jpg,89.606153,4.937437897379344,3.066070776131605
255,schleich_spinosaurus_action_figure,multiview-10-canon_t4i,multiview-10-canon_t4i,schleich_spinosaurus_action_figure/multiview-10-canon_t4i/images/046.jpg,schleich_spinosaurus_action_figure/multiview-10-canon_t4i/images/052.jpg,56.446317,5.343513292620767,5.196882471774337
256,school_bus,multiview-12-ipad_5,multiview-12-ipad_5,school_bus/multiview-12-ipad_5/images/028.jpg,school_bus/multiview-12-ipad_5/images/029.jpg,51.017605,1.7889566216520685,1.2265527361152269
257,soldier_wood_showpiece,multiview-01-pixel_4a,multiview-01-pixel_4a,soldier_wood_showpiece/multiview-01-pixel_4a/images/021.jpg,soldier_wood_showpiece/multiview-01-pixel_4a/images/024.jpg,78.515039,1.542926935101974,0.6135086911341397
258,steps_small_showpiece,multiview-03-pixel_6pro,multiview-03-pixel_6pro,steps_small_showpiece/multiview-03-pixel_6pro/images/016.jpg,steps_small_showpiece/multiview-03-pixel_6pro/images/019.jpg,57.115911,6.822837481133697,8.878046912223681
259,tractor_green_showpiece,multiview-02-pixel_6pro,multiview-02-pixel_6pro,tractor_green_showpiece/multiview-02-pixel_6pro/images/016.jpg,tractor_green_showpiece/multiview-02-pixel_6pro/images/019.jpg,84.799637,2.4368014911751454,0.8870465904785154
260,tumbler_air_balloon,multiview-00-pixel_4a,multiview-00-pixel_4a,tumbler_air_balloon/multiview-00-pixel_4a/images/017.jpg,tumbler_air_balloon/multiview-00-pixel_4a/images/018.jpg,60.737532,2.235774018272612,3.126365919981795
261,water_gun_toy_white,multiview-02-pixel_6pro,multiview-02-pixel_6pro,water_gun_toy_white/multiview-02-pixel_6pro/images/017.jpg,water_gun_toy_white/multiview-02-pixel_6pro/images/019.jpg,56.909093,11.053289140297611,6.098800397510752
